岗位名词,岗位类别,招聘人数,经验要求,学历要求,平均月薪（万）,薪资下限（万/月）,薪资上限（万/月）,岗位描述,城市,区,招聘单位,单位类别,企业规模,所属行业,备注一,备注二
绿色金融数据分析实习生,实习,1,1年以下,硕士,0.264,0.22,0.308,"职位描述实习证明数据分析模型设计SPSS金融数据分析  工作职责：  1.负责公司ESG评级相关产品数据加工处理及模型的研发；  2.负责数据库的建设与管理工作；  3.负责数据信息的清洗、转换与各类统计；  4.负责ESG评级模型开发，包括数据准备、特征工程，建模及数据分析、模型的选取与圈定、模型验证工作；  5.负责完成领导分配的其他任务。  任职要求  1.计算机应用、统计学或其他数据分析模型相关专业在校研一、研二生；有基金管理、数据建模相关实习经验的优先；  2.拥有模型设计和语言编程经验的优先；  3.熟知统计分析及查询相关软件及工具：SPSS、SAS、SQL等；  4.熟悉常见的统计模型和计量模型。 
职位福利：餐补",北京,丰台,东方金诚信用管理(北京)有限公司,国企,20-99人,证券/期货,模型设计,SPSS
绿色金融项目科研助理,实习,1,1年以下,本科,0.33,0.22,0.44,"职位描述可转正实习证明碳中和绿色金融新能源学术/科研岗位职责：  1、项目相关行业研究分析及总结归纳提炼（主要涉及金融、经济、新能源、绿色、环境、人工智能等领域）；  
2、文献检索、期刊检索工作（需熟练使用中外主要文献查询网站）；  
3、梳理并撰写报告，制作PPT等。  
  任职要求：  1、本科及以上学历，金融、政策、环境、AI、双碳相关专业或有相关领域实习经验者优先；  2、每周至少工作4天，其中线下工作时间不少于2天，不迟到早退，上下班须打卡，工作时间最少3个月；  3、可熟练使用各类检索工具并分析处理信息者优先，擅长使用PPT、Excel者优先；  4、英语阅读能力强者优先；  5、沟通能力强、协作能力强、责任心强者优先。  
  职位亮点：  如符合公司正式员工标准的，有转正机会。",北京,朝阳,北京浩华浩信资产管理顾问有限公司,外商独资,20-99人,咨询服务,绿色金融,
中国节能协会绿色低碳金融产业委员会产业部主任,全职,1,5-10年,硕士,1.9,1.3,2.5,"职位描述环保咨询能源咨询节能项目咨询社团/组织/社会保障一、岗位职责
1.组织开展有关绿色低碳、绿色金融研究工作，发布产业研究报告；
2.借鉴国内外的政策法规和成功经验，为国家和地方政府有关部门推动绿色发展提供服务；
3.组织开展绿色低碳技术、项目的研究，发布研究报告；
4.组织开展有关学术交流；
5.开展相关政策、法律、法规等咨询服务；
6.发布产业政策、行业资讯、合作信息。
二、任职要求
1.环境科学、环境工程、能源、能效、公共政策、公共管理等相关领域硕士研究生以上学历。
2.有主持战略研究及课题规划项目的实际经验；
3.文字功底深厚，较强的逻辑分析能力，较高的英语水平；
4.有一定的组织协调能力和项目管理能力。
 
职位福利：五险一金、餐补、加班补助、交通补助、通讯补助、带薪年假、定期体检、绩效奖金",北京,西城,国发节能环保发展集团有限公司,股份制企业,20-99人,环保,能源咨询,节能项目咨询
Campaigner_Green Finance(J10145),全职,1,1年以下,本科,1.6,1.5,1.7,"职位描述绿色金融气候金融转型金融 OVERVIEW 
 绿色和平绿色与转型金融项目组正在招募一位至少具有金融学、财政学、环境经济学、气候政策等相关背景之一的新团队成员。你将参与到项目落地实施的全过程。我们希望你对绿色与转型金融议题感兴趣，能够独立或与相关合作方开展高质量的研究工作，协助保持与政府、金融机构、企业、学界等合作伙伴的沟通和联系。如果你在绿色金融、气候政策等相关领域有工作经验，期待通过跨学科、实证性的政策研究与利益相关方对话，促进绿色与转型金融政策标准、金融市场、金融产品发展，助力实现“双碳“目标，欢迎加入我们的项目团队。 
 PURPOSE and SCOPE OF THE JOB The Campaigner is responsible for development and implementation of effective and integrated campaign work to achieve Greenpeace's mission. 
 The post holder is line managed by the Program Manager or Project Manager and assists in planning, development and implementation of campaign strategies, plans, and procedures. 
 The post holder will usually work in a team composed of campaign, communications & multimedia, research, and analytics staff. The post holder may be assigned to work in projects which involve other Greenpeace offices. 
 MAIN RESPONSIBILITIES 
 1. Contribute to the development and implementation of effective and integrated campaign plans, strategies and tactics related to the overall vision, goals, and objectives of the organization. 2. Analyze the new developments in support of campaign vision, goals, and objectives. Stay abreast of current and emerging developments relating to the campaign issues. 3. Conduct research and investigation in relation to the objectives and plans of campaign projects. 4. Implement the assigned projects effectively by ensuring the project direction and strategy is clearly followed and executed. Collaborate with other team members effectively to deliver the project outcomes. 5. Show commitment to the team by providing support or sharing to teammates whenever necessary. 6. Evaluate project achievements and shortcomings at designated points of evaluation. Complete evaluation reports as required, follow-up on the recommendations and lessons learned accordingly. 7. Manage contractors as required in compliance with Greenpeace East Asia policies. Manage project budgets and expenditure responsibly. 
 QUALIFICATIONS 
 • Bachelor degree or above in related field such as Finance, Environmental Economics, Public Policy, etc. • Work experience in the area of green finance, climate policy, and related. • Commitment to Greenpeace’s mission and values. • Be able to use English as working language. 
 HOW TO APPLY 
 Interested parties please apply with your bilingual resume here. The application deadline is May 15, 2025. 
 Greenpeace is committed to the principle of equal employment opportunity for all employees, regardless of sex, marital status, race, religion, age, disability, sexual orientation, gender identity and any other characteristics unrelated to the performance of the job. Selection will be in accordance with objective, job related criteria and the appointment will be on the basis of applicant's merits and abilities.",北京,东城,GREENPEACE EAST ASIA,社会团体,100-299人,社团/组织/社会保障,气候金融,转型金融
博士后工作站科研人员,全职,3,1年以下,博士,2.1875,1.875,2.5,"职位描述绿色金融评级行业债券市场新能源一、博士后申请条件
 
1. 具有海内外的博士学位或应届博士研究生；
 
2. 具有金融工程、数学、经济、金融、统计、计算机、化学、物理等相关专业背景；
 
3. 具有较强的科研能力，原则上以第一作者身份在CSSCI期刊上发表至少两篇论文；
 
4. 具有较强的团队合作意识、文字表达与沟通能力；
 
5. 符合国家博管办要求的其他条件。
 
二、福利待遇
 
1. 提供有竞争力的薪酬，清晰的职业发展路径；
 
2. 出站后优先留用。",北京,八里庄,大公国际资信评估有限公司,国企,500-999人,证券/期货,评级行业,债券市场
中国节能协会绿色低碳金融产业委员会技术部主任,全职,1,5-10年,硕士,1.9,1.3,2.5,"职位描述环保技术支持电力/水利/热力/燃气新能源环保一、岗位职责
1、接受政府委托,承担节能环保产业相关技术政策研究、标准规范制定、科研课题等。
2、负责重点节能、环保、低碳实用技术、项目、示范工程研究评价推广制定，组织优秀节能环保技术、项目、工程的评议、鉴定、评估、验证、推广和推荐。
3、负责节能环保产业团体标准制制订、管理。
4、负责先进节能环保技术、专业技术人才、运营企业、创新企业等评价工作。
5、结合业务工作发展与服务会员，为会员提供技术类咨询服务，开展技术交流研讨活动，促进产学研合作。
二、任职要求
1. 环境科学、环境工程、能源、能效、公共政策、公共管理等相关领域硕士研究生以上学历。
2. 较强的文字功底，较强的逻辑分析能力
3. 有一定的组织协调能力和项目管理能力。
 
职位福利：五险一金、餐补、加班补助、交通补助、通讯补助、带薪年假、定期体检、绩效奖金",北京,西城,国发节能环保发展集团有限公司,股份制企业,20-99人,环保,,
ESG销售助理,全职,1,1年以下,本科,0.6,0.5,0.7,"职位描述ESG绿色金融可持续发展岗位职责：
- 拓展和维护客户关系，确保与客户沟通的顺畅以及服务质量；
- 建立和维护与行业伙伴的合作关系，与行业内以及区域内的利益相关方保持良好沟通；
- 参与公司的市场和品牌推广活动，与团队共同开发新产品；
- 领导交办的其他工作。
岗位要求：
- 本科及以上学历，市场营销等专业优先；
- 有ESG相关工作经验优先，对金融市场有一定了解；
- 有较强的语言沟通能力和文字表达能力；
- 有相对独立的工作能力以及较强的责任心和服务意识；
- 底薪+提成，面议。",北京,朝阳,北京商道纵横信息科技有限责任公司,股份制企业,100-299人,咨询服务,绿色金融,可持续发展
中国节能协会绿色低碳金融产业委员会综合部行政助理,全职,1,1-3年,本科,0.7,0.6,0.8,"职位描述文案撰写电力/水利/热力/燃气新能源环保岗位职责：
1、协助委员会领导完成相关行政事务工作、部门日常事务；
2、做好材料（资料）收集、起草整理、文件发放、归档管理等工作；
3、委员会规章制度执行情况监督、记录及建议；
4、会务安排：做好会前准备、会中服务、会议记录、会后整理等工作；
5、协助委员会的相关项目工作跟进、资料整理、文案编写等工作；
6、负责委员会官网、官微每天所发布内容的搜集、整编、发布等工作；
7、完成领导交办的其他工作。
任职要求：
1、中文、新闻、文秘、行政管理等相关专业，本科及以上学历；
2、工作严谨细致，责任心强，有协会、商会一年工作经验；
3、熟练使用office等办公软件，具有简单公文、通知撰写能力，加分项：会使用平面设计软件，有平面设计能力，会制作PPT、易企秀；
4、具有良好的语言表达、沟通协调能力，执行力、团队意识强。 
职位福利：五险一金、餐补、加班补助、交通补助、通讯补助、带薪年假、定期体检、绩效奖金",北京,西城,国发节能环保发展集团有限公司,股份制企业,20-99人,环保,,
中国节能协会绿色低碳金融产业委员会金融部主任,全职,1,10年以上,本科,2,1.5,2.5,"职位描述银行机构企业投融资部门电力/水利/热力/燃气环保社团/组织/社会保障一、岗位职责
1.负责与国家和地方金融管理部门、金融机构、投资机构、产业基金、保险资金等开展交流与合作；
2.建立绿色金融投融资服务平台，推动资金与需求的精准对接平台；
3.负责策划、组织与金融机构的各类产融对接活动；
4.为金融机构提供节能环保项目咨询服务和技术支持；
5.帮助会员设计融资规划，推荐适合的融资模式与渠道；
6.承担金融机构的课题研究和委托工作；
7.负责与金融机构签订授信协议，发展金融机构会员。
二、任职要求
1.十年以上金融行业从业经历，5年以上银行机构工作经验；
2.在金融机构有一定的人脉关系；
3.有对应的渠道资源以及项目投、融资实战经验。
 
职位福利：五险一金、餐补、加班补助、交通补助、通讯补助、带薪年假、定期体检、绩效奖金",北京,西城,国发节能环保发展集团有限公司,股份制企业,20-99人,环保,企业投融资部门,
中国节能协会绿色低碳金融产业委员会会员部主任,全职,1,5-10年,本科,1.9,1.3,2.5,"职位描述会员管理电力/水利/热力/燃气环保社团/组织/社会保障一、岗位职责
1.负责会员的联络与服务；
2.负责发展会员、收集会费和日常管理；
3.负责会员交流活动的组织与实施；
4.筹备召开会员代表大会、主任会议、常务委员会议；
5.负责会员单位的调研和资源对接，协调解决会员反映的问题。
二、任职要求
1. 8年以上大型知名企业政府公关工作经验，5年以上相关行业政府事务相关经验；
2.熟悉节能环保及相关产业，有广泛的人脉资源；
3.有很强的组织协调和人际沟通能力；
4.有培训或人力资源相关工作经验。
 
职位福利：五险一金、餐补、加班补助、交通补助、通讯补助、带薪年假、定期体检、绩效奖金",北京,西城,国发节能环保发展集团有限公司,股份制企业,20-99人,环保,,
